time,open,high,low,close
2020-10-28,1641.2,1649.75,1545.55,1593.5
2020-10-29,1600,1627.9,1542.1,1560.1
2020-10-30,1552,1560,1512.7,1553.65
2020-11-02,1559.85,1634,1552.45,1631.9
2020-11-03,1625.1,1667.05,1623.55,1667.05
2020-11-05,1671,1726.5,1661,1719.5
2020-11-06,1711.8,1775,1705.65,1769.75
2020-11-09,1781.25,1802.7,1580.25,1661.5
2020-11-10,1661.5,1674.9,1601,1643.25
2020-11-11,1648.3,1648.3,1546.45,1588
2020-11-12,1582.5,1633.5,1565,1603.3
2020-11-13,1596.4,1648,1582.55,1629.55
2020-11-16,1621.3,1634.9,1590.75,1603.5
2020-11-17,1597.05,1602.45,1573.05,1579.05
2020-11-18,1574.6,1587.5,1560.8,1577.05
2020-11-19,1572,1573.65,1544.05,1549
2020-11-20,1544.2,1553,1531.5,1541
2020-11-23,1544,1546.95,1445.45,1478.5
2020-11-24,1459.2,1534.35,1436.2,1463
2020-11-25,1458,1465,1425.9,1457
2020-11-26,1458,1512.9,1458,1502
2020-11-27,1498.95,1503.8,1447.2,1464
2020-11-30,1456.85,1465.9,1435.05,1453
2020-12-01,1457.25,1488.85,1454.7,1485.9
2020-12-02,1476.75,1498,1454.35,1465.65
2020-12-03,1474.95,1484.05,1441.6,1450.3
2020-12-04,1453,1453.95,1428,1436
2020-12-07,1437.95,1489.85,1397.55,1474
2020-12-08,1479.2,1511.4,1463,1506.1
2020-12-09,1499.95,1505.9,1451.05,1458
2020-12-10,1455,1469.65,1433.3,1442.95
2020-12-11,1440,1443.5,1411.9,1424.7
2020-12-14,1418,1454,1401,1439.35
2020-12-15,1453,1504.95,1440,1489.95
2020-12-16,1500,1501.25,1454,1475
2020-12-17,1482,1543.2,1475.4,1528.6
2020-12-18,1515.05,1558.45,1513.8,1532
2020-12-21,1563,1584.5,1533,1565
